"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","notes","source_studies"
"oot","Object-Oriented Technology (OOT)","framework","Various","1980s-2000s","growing","{'lifecycle_current': 'active', 'notes': 'Object-oriented technology (OOT) remains the dominant programming paradigm for enterprise software, frameworks, and applications. OOP is active and evolving with functional/hybrid approaches.', 'source': 'https://www.linkedin.com/pulse/object-oriented-programming-what-i-use-today-why-still-nagar-ktavc'}","Object-oriented programming and component technology; cited as future promise for easier integration; seen as slow to take off but showing benefits when applied to enterprise apps.","oracleroiwhitepaperprod-7023c3"
"crm-application","Customer Relationship Management (CRM) Application","application","Siebel; BroadVision; Oracle","1990s-2000s","growing","{'lifecycle_current': 'active', 'notes': 'CRM applications are a large, growing software category. Salesforce, Microsoft Dynamics, HubSpot actively developed. Global CRM market exceeds $65B.', 'source': 'General CRM market data'}","CRM as both a point solution (Siebel) and an integrated module; one of the key function areas examined in point-vs-suite debate.","oracleroiwhitepaperprod-7023c3"
"scm-application","Supply Chain Management (SCM) Application","application","i2; Manugistics; Oracle","1990s-2000s","growing","{'lifecycle_current': 'active', 'notes': 'Supply Chain Management applications are actively used and growing, especially post-pandemic with renewed focus on supply chain resilience. SAP, Oracle, Blue Yonder leading vendors.', 'source': 'General SCM market data'}","SCM as both a point solution (i2, Manugistics) and integrated module; Nike's failed SCM/ERP/CRM integration is the central cautionary case.","oracleroiwhitepaperprod-7023c3"
"eprocurement-application","e-Procurement Application","application","Ariba; Commerce One; Oracle","1998-2003","mature","{'lifecycle_current': 'active', 'notes': 'e-Procurement applications are actively developed and adopted. Market growing with digital transformation in procurement. Coupa, SAP Ariba, Jaggaer among leaders.', 'source': 'General e-procurement market'}","e-Procurement cited as archetypal 'e-version of single enterprise function'; Ariba and Commerce One as point solution leaders; Ariba-i2-IBM partnership collapsed within 6 months.","oracleroiwhitepaperprod-7023c3"
"open-api","Open APIs / Application Programming Interfaces","standard","Various","1990s-2000s","growing","{'lifecycle_current': 'active', 'notes': 'Open APIs are fundamental to modern software architecture. API economy is growing; REST, GraphQL, and OpenAPI specification actively developed and adopted.', 'source': 'General API ecosystem'}","Cited as a key integration challenge: some products have open APIs, some do not; interfaces may change at vendor's discretion, requiring new tools and retraining.","oracleroiwhitepaperprod-7023c3"
"intel-tick-tock","Intel Tick-Tock","platform","Intel","2007-2016","emerging","retired","Process cadence; broke at 10nm","otellini-intel-techpinions-2013-917213; otellini-preview-how-it-changed-2013-604cfb; otellini-preview-on-the-impact-2013-a50192"
"intel-14nm","Intel 14nm Process","platform","Intel","2014-present","emerging","mature","","otellini-intel-techpinions-2013-917213"
"high-k-metal-gate","High-K Metal Gate transistors","platform","Intel","2007-present","emerging","mature","Debuted at 45nm","otellini-intel-techpinions-2013-917213"
"3d-tri-gate","3D Tri-Gate transistors","platform","Intel","2012-present","emerging","mature","Debuted at 22nm","otellini-intel-techpinions-2013-917213"
"tizen","Tizen","platform","Samsung/Linux Foundation","2012-present","emerging","legacy-supported","Intel optimized","otellini-intel-techpinions-2013-917213"
"wind-river","Wind River (VxWorks RTOS)","platform","Intel","2009-present","mature","active (spun out from Intel 2018)","Real-time OS; Intel acquisition 2009 ($884M) to grow embedded/IoT footprint","otellini-intel-techpinions-2013-917213"
"mcafee","McAfee Security Platform","platform","Intel","2011-2017","mature","divested (majority sold to TPG 2017)","Security software acquisition (2011, $7.68B) cited as a strategic misstep under Otellini","otellini-intel-techpinions-2013-917213"
"infineon","Infineon Wireless Solutions (WLS)","component","Intel","2011-2019","growth","divested (smartphone modem unit sold to Apple 2019, $1B)","Infineon WLS acquisition (2011, $1.4B) provided baseband modem silicon for Intel mobile push","otellini-intel-techpinions-2013-917213"
"dotnet-windows-dev",".NET / Windows Development","framework","Microsoft","2002-present","growing","{'lifecycle_current': 'active', 'notes': '.NET is actively developed (currently .NET 9, with .NET 10 in development). The legacy .NET Framework is in maintenance mode but .NET (Core) is active and cross-platform.', 'source': 'https://dotnet.microsoft.com/en-us/platform/support/policy'}","Second major outsourcing target after Java; .NET and Windows development identified as top outsourcing activity.","outsourcing-adm-864c88; outsourcing-application-development-and--59d651"
"cobol-legacy","COBOL / Legacy Application Maintenance","language","Various","1959-present","declining","{'lifecycle_current': 'legacy-supported', 'notes': 'COBOL legacy application maintenance is a large market. Organizations actively maintain existing COBOL codebases but rarely build new systems in COBOL. IBM Enterprise COBOL for z/OS actively supported.', 'source': 'https://zmainframes.com/zlog/cobol-in-2024-is-it-still-relevant-or-a-dying-language/'}","COBOL and AS/400 RPG maintenance cited as prime outsourcing candidates; companies prefer to outsource older legacy maintenance so internal IT focuses on strategic work.","outsourcing-adm-864c88; outsourcing-application-development-and--59d651"
"as400-rpg","AS/400 RPG","language","IBM","1988-present","declining","{'lifecycle_current': 'evolved', 'notes': 'AS/400 RPG has evolved into IBM i RPG (RPG IV / ILE RPG) on IBM Power Systems. AS/400 hardware is discontinued but IBM i (the successor OS) is actively supported and growing. The RPG language is actively maintained.', 'source': 'https://www.nicklitten.com/why-is-the-as400-still-used-in-2024/'}","AS/400 RPG maintenance cited alongside COBOL as prime outsourcing targets for older application maintenance.","outsourcing-application-development-and--59d651"
"portal-development","Portal Development","application","Various","2000s","growing","{'lifecycle_current': 'evolved', 'notes': 'Traditional portal development (IBM WebSphere Portal, etc.) has largely evolved into modern digital experience platforms, headless CMS, and microservices-based UX. The portal paradigm is legacy but the need it served lives on in modern form.', 'source': 'General technology evolution'}","Top outsourcing target; portal development cited as strategic IT undertaking; Best in Class advised to keep portal development in-house for skill building.","outsourcing-application-development-and--59d651"
"open-source-linux","Open Source / Linux Development","platform","Open Source Community","2000s","growing","{'lifecycle_current': 'active', 'notes': 'Open source / Linux development is extremely active. Linux kernel, open-source ecosystem, and Linux-based development continue to dominate cloud, embedded, and server markets.', 'source': 'https://www.kernel.org/'}","SOA, open source, and Linux development cited as strategic functions Best in Class companies should retain; also a top outsourcing enabler per PACE framework.","outsourcing-adm-864c88; outsourcing-application-development-and--59d651"
"soa-development","SOA Development / Integration","framework","Various","2004-2008","growing","{'lifecycle_current': 'evolved', 'notes': 'SOA (Service-Oriented Architecture) has evolved into microservices, API-first, and cloud-native architectures. SOA market estimated at $10.78B in 2024 (projected $34B by 2033), but the paradigm has evolved significantly beyond traditional SOA.', 'source': 'https://www.linkedin.com/pulse/global-service-oriented-architecture-soa-market-jfckf'}","SOA development cited as strategic function to retain in-house; also listed as outsourcing enabler; SOA and web B2B development near-shore preferred.","outsourcing-adm-864c88; outsourcing-application-development-and--59d651"
"bpm-technology","Business Process Management (BPM) Technology","application","Various","2004-2008","growing","{'lifecycle_current': 'active', 'notes': 'Business Process Management technology is actively growing. BPM market projected at $14.4B by 2025. Evolving with AI, low-code/no-code, and process mining integration.', 'source': 'https://www.processexcellencenetwork.com/business-process-management-bpm/articles/6-trends-that-will-shape-bpm-in-2024'}","BPM technology recommended as capability consideration for organizations improving service levels with business units via outsourcing.","outsourcing-adm-864c88; outsourcing-application-development-and--59d651"
"windows-vista-dev","Microsoft Windows Vista","platform","Microsoft","2006-2009","pre-release","{'lifecycle_current': 'discontinued', 'notes': 'Windows Vista reached end of life April 11, 2017. Fully discontinued; no security updates. Market share near zero. Development for Vista ceased years ago.', 'source': 'https://invgate.com/itdb/windows-vista'}","Windows Vista rollout cited as upcoming strategic IT undertaking; Best in Class advised to keep Vista-related development in-house for skill building.","outsourcing-application-development-and--59d651"
"client-server-legacy","Client-Server Applications (Legacy)","application","Various","1990s","declining","{'lifecycle_current': 'legacy-supported', 'notes': 'Client-server application architecture continues to run in many enterprises, particularly in financial services and manufacturing. Legacy systems maintained but new development uses web/cloud-native models.', 'source': 'General IT observation'}","Client-server application maintenance cited alongside COBOL as prime outsourcing targets; older architecture that organizations prefer to outsource maintenance of.","outsourcing-application-development-and--59d651"
"ajax-html-web","Ajax / HTML Web Site Development","framework","Various","2005-2008","growing","{'lifecycle_current': 'evolved', 'notes': 'AJAX/HTML web development has evolved into modern single-page applications (React, Angular, Vue), Progressive Web Apps, and web standards (Fetch API replaced XMLHttpRequest). The term AJAX is dated; modern web dev is active.', 'source': 'General technology evolution'}","Web site development (Ajax, HTML, SAP, ABAP) cited as top outsourcing target; also listed as outsourcing enabler in PACE framework.","outsourcing-application-development-and--59d651"
"itanium2","Intel Itanium 2 Processor","hardware","Intel","2003-2010","growing","{'lifecycle_current': 'discontinued', 'notes': 'Intel Itanium 2 is discontinued. Intel ended shipments July 2021; HPE ended support December 31, 2025. Duplicate of itanium-2 entry.', 'source': 'https://www.tomshardware.com/news/intel-kills-itanium-processors-chips-hpe,38540.html'}","64-bit EPIC architecture processor; primary subject of Perspective; assessed as ready for mainframe-class workloads; superior to Xeon in performance/scalability per interviewees; ultimately discontinued.","perspective-041304-e4be4c"
"xeon-server","Intel Xeon Server Platform","hardware","Intel","1998-present","mature","{'lifecycle_current': 'active', 'notes': ""Intel Xeon server platform is actively developed and sold. Current generation is Xeon 6 (Granite Rapids). A core product line for Intel's data center business."", 'source': 'https://www.intel.com/content/www/us/en/products/details/processors/xeon.html'}","32-bit Xeon cited as already handling migrated mainframe-class workloads in production for 1+ years; performance comparable to mainframe; Itanium 2 superior to Xeon for larger workloads.","perspective-041304-e4be4c"
"dl1","DL/1 (Data Language 1) / IMS","application","IBM","1968-present","declining","{'lifecycle_current': 'legacy-supported', 'notes': 'DL/1 (Data Language/1) is the IMS database access language, still supported as part of IBM IMS but not used for new development. Legacy mainframe technology maintained for existing systems.', 'source': 'https://www.ibm.com/docs/en/ims'}","IBM hierarchical database/transaction system; cited as requiring significant effort for Itanium migration along with CICS and assembler.","perspective-041304-e4be4c"
"virtual-machine-mainframe","Virtual Machine (VM) on Mainframe","platform","IBM","1972-present","mature","{'lifecycle_current': 'active', 'notes': 'Virtual machine technology on IBM Z mainframes (z/VM) is actively supported and used. IBM z/VM continues to receive updates. Core technology for running multiple Linux instances on mainframe hardware.', 'source': 'https://www.ibm.com/products/zvm'}","Mainframe VM for allocating fractions of processors to applications; DB2 cost-effectiveness on Intel multiprocessor vs. mainframe VM cited as factor favoring Intel migration.","perspective-041304-e4be4c"
"data-warehousing-analytics","Data Warehousing and Analytics","application","Various (SAS Institute cited)","1990s-present","growing","{'lifecycle_current': 'active', 'notes': 'Data warehousing and analytics is a large, growing market. Evolved from traditional EDW to cloud data warehouses (Snowflake, BigQuery, Redshift). Active and fundamental to enterprise BI.', 'source': 'General market observation'}","CPU-intensive workload category that delivers largest immediate payback on Itanium vs. mainframe; includes SAS and large-database analytics.","perspective-041304-e4be4c"
"intel-vpro","Intel vPro Technology","platform","Intel","2006-present","mature","active","Business client platform; subject of Day 2 lab tour.","peter-kastner-10-bde195; small-business-intel-targets-smbs-with-r-2cd3ec; youtube-channelintel-anti-theft-tech-200-73a093; youtube-kastner-intel-vpro-tco-2008-cb1733"
"intel-larrabee","Intel Larrabee","platform","Intel","2006-2010","emerging","obsolete","Many-core x86 GPU project with LRBni vector instructions; discontinued as GPU in 2010, repurposed to Xeon Phi.","peter-kastner-10-bde195"
"intel-mid","Intel Mobile Internet Device (MID)","platform","Intel","2007-2012","emerging","obsolete","Atom-based mobile Internet platform; supplanted by smartphones.","peter-kastner-10-bde195"
"intel-netbook","Intel Netbook Platform","platform","Intel","2008-2013","emerging","obsolete","Atom-based low-cost notebook category.","peter-kastner-10-bde195"
"intel-nettop","Intel Nettop Platform","platform","Intel","2008-2012","emerging","obsolete","Atom-based compact desktop category.","peter-kastner-10-bde195"
"intel-datacenter-lights-out","Intel Lights-Out Data Center","framework","Intel","2008-present","emerging","active","Two 6000-sqft modules at 500+ W/sqft; Jones Farm Campus.","peter-kastner-10-bde195"
"intel-d1d-fab","Intel D1D Fab","platform","Intel","2002-present","mature","active","Intel's D1D development fab at Ronler Acres, Hillsboro OR; window tour.","peter-kastner-10-bde195"
"intel-xeon-mp","Intel Xeon MP (multiprocessor)","platform","Intel","2002-present","mature","active","4-32 processor enterprise Xeon MP; tier-3 32-bit workloads.","planningforemergingindustry-6-40decb"
"intel-e7501","Intel E7501 chipset","platform","Intel","2002-2006","mature","obsolete","Dual-way Xeon chipset; supports 16GB memory, 3x PCI-X buses, dual Gigabit Ethernet.","planningforemergingindustry-6-40decb"
"intel-e7505","Intel E7505 chipset","platform","Intel","2002-2006","mature","obsolete","Workstation Xeon chipset with AGP 8x, 4GB/s memory bandwidth.","planningforemergingindustry-6-40decb"
"intel-e7205","Intel E7205 chipset","platform","Intel","2002-2005","mature","obsolete","Entry Xeon chipset.","planningforemergingindustry-6-40decb"
"intel-e8870","Intel E8870 chipset","platform","Intel","2002-2007","mature","obsolete","Itanium 2 2-8-way chipset; extensive RAS logic.","planningforemergingindustry-6-40decb"
"intel-875p-canterwood","Intel 875P Canterwood chipset","platform","Intel","2003-2006","mature","obsolete","High-end P4 chipset with ECC, dual DDR400, PAT, Gigabit Ethernet; entry workstation.","planningforemergingindustry-6-40decb"
"intel-nocona","Intel Xeon Nocona (codename)","platform","Intel","2004-2006","emerging","obsolete","Next-gen 2004 Xeon; higher clock speeds.","planningforemergingindustry-6-40decb"
"intel-lindenhurst","Intel Lindenhurst chipset (codename)","platform","Intel","2004-2007","emerging","obsolete","Industry-first chipset to incorporate PCI Express serial I/O and DDR2.","planningforemergingindustry-6-40decb"
"intel-potomac","Intel Xeon Potomac (codename)","platform","Intel","2005-2007","emerging","obsolete","Next-gen 32-bit multiprocessor server CPU for 2H2004.","planningforemergingindustry-6-40decb"
"intel-twin-castle","Intel Twin Castle chipset (codename)","platform","Intel","2004-2008","emerging","obsolete","Intel's first recent 4-way IA32 enterprise chipset since 2002 re-entry.","planningforemergingindustry-6-40decb"
"ddr2-sdram","DDR2 SDRAM (DDR2-400)","platform","Industry","2004-2010","emerging","obsolete","Half the power of DDR400; 40% less than DDR333; debuts 2004.","nvidia-geforce-fx-notes-2003-02; planningforemergingindustry-6-40decb; technology-news-future-tech-plastic-disc-4a4a71; technology-news-hardware-intel-ships-gra-47f656"
"memory-mirroring","Memory Mirroring/Sparing/Scrubbing","framework","Industry","1990s-present","emerging","active","Mainframe-class memory RAS migrating to IA servers.","planningforemergingindustry-6-40decb"
"10gbe","10 Gigabit Ethernet (10GbE)","protocol","IEEE","2002-present","emerging","active","PCI-E x8 needed for sustained 10GbE bandwidth.","planningforemergingindustry-6-40decb"
"tcp-offload","TCP Offload Engine (TOE)","framework","Industry","2002-present","emerging","legacy-active","Network offload pattern anticipated for PCI-E InfiniBand.","planningforemergingindustry-6-40decb"
"infranet","Portal Infranet 6.0","application","Portal Software","1996-2006","current","legacy-acquired","Real-time customer management and billing; scales from thousands to millions of subscribers","portal-99-fe5656"
"infranet-architecture","Infranet N-tier Architecture","framework","Portal Software","1996-2006","current","legacy-acquired","Object-oriented; N-tiers of application servers; load balancing; four-level firewall","portal-99-fe5656"
"cisco-netflow","Cisco Netflow","protocol","Cisco Systems","1996-present","emerging","current","Portal-Cisco metered billing development","portal-99-fe5656"
"mcis","Microsoft Commercial Internet System (MCIS)","platform","Microsoft","1996-2001","emerging","discontinued","Infranet integration with Microsoft's MCIS","portal-99-fe5656"
"html","HTML","protocol","W3C","1991-present","mature","dominant","Infranet invoice format; web-enabled interfaces","aberdeen-1996-blyths-ren-architecture-prescription-it-success; aberdeen-1996-iq-software-www-reporting; aberdeen-1996-web-warehouses-dss-for-masses; pilot-internet-publisher-51e601; portal-99-fe5656"
"itm-b-benchmark","ITM-B Internet Performance Benchmark","benchmark","Various","1998-2000","emerging","discontinued","Benchmark used by HP/Sun/Compaq to demonstrate Infranet scalability","portal-99-fe5656"
"world-wide-web","World Wide Web","framework","CERN/multiple","1991-","emerging","current","Primary vehicle for Internet application development in 1996","psk-misc-speech-agendas-5965a3; real-time-billing-for-internet-protocol--5ef746"
"distributed-systems","Distributed Systems","framework","multiple","1985-","mature","current","Referenced in Chaos or Cosmos Distributed Systems Management agenda","psk-misc-speech-agendas-5965a3"
"16pf-instrument","16 Personality Factors (16PF) Instrument","application","Institute for Personality and Ability Testing","1949-present","mature","active","Psychometric assessment tool developed by Raymond Cattell; used to generate this report","psk-personality-profile-2000-8be0a6"
"ca-openroad","CA OpenROAD","application","Computer Associates","1993-","emerging","end-of-life","Most mature OO CADE; incompatible with prior character 4GL customers","rdbms-for-ibm-powera~1-7a44be"
"idms","IDMS","application","Computer Associates","1974-","mature","legacy","CA database product; network/hierarchical database","on-computers-tips-40th-anniversary-of-th-ee9cc5; rdbms-for-ibm-powera~1-7a44be"
"datacom","Datacom/DB","application","Computer Associates","1974-","mature","legacy","CA database product","rdbms-for-ibm-powera~1-7a44be"
"hacmp","IBM HACMP","application","IBM","1991-","mature","legacy","High Availability Cluster Multi-Processing for RS/6000; promising scalability","aberdeen-1995-ibm-db2-common-server; aberdeen-1996-bulls-sagister-datacenterdisciplined-unix-businesscritical-applications; aberdeen-1996-ibm-aix-4-not-your-fathers-325; rdbms-for-ibm-powera~1-7a44be"
"ensina","IBM Ensina","application","IBM","1995-","emerging","legacy","OLTP middleware for RS/6000","rdbms-for-ibm-powera~1-7a44be"
"informix-newera","Informix NewEra","application","Informix","1994-","emerging","legacy","Second-generation C-S OO-GUI development tool; maturing as OO CADE","rdbms-for-ibm-powera~1-7a44be"
"oracle-developer2000","Oracle Developer/2000","application","Oracle","1994-","emerging","legacy","Clunky tools that only work on Oracle; Oracle Objects interesting but incompatible","rdbms-for-ibm-powera~1-7a44be"
"progress-rdbms","Progress RDBMS","application","Progress Software","1984-","mature","legacy","Modest scalability; lacks pizzaz features; effective for workgroup/departmental","progress-version-8-2-development-environment-3cadac; rdbms-for-ibm-powera~1-7a44be"
"adabas-d","Software AG Adabas D","application","Software AG","1988-","mature","legacy","Top-selling RS/6000 platform for SAG; Windows NT pricing model; NIST 127-2 secure; tied with Informix for #2 on SAP apps","aberdeen-1996-software-ag-digital-high-performance-solutions; rdbms-for-ibm-powera~1-7a44be"
"drda","IBM DRDA (Distributed RDBA Architecture)","protocol","IBM","1990-","mature","legacy","IBM distributed database protocol; DB2 has full 2-way DRDA; Informix and Oracle have DRDA client","aberdeen-1995-ibm-db2-common-server; aberdeen-1996-flexiinternational-software-financial-acumen-technology; rdbms-for-ibm-powera~1-7a44be"
"odbc","ODBC (Open Database Connectivity)","standard","Microsoft","1992-","mature","current","Industry standard; IBM DB2 supports ODBC; Microsoft invented ODBC","aberdeen-1995-ibm-db2-common-server; aberdeen-1996-iq-software-www-reporting; aberdeen-1997-as400-nt-server-ibm-microsoft-working-together; rdbms-for-ibm-powera~1-7a44be; software-market-safegu~1-ea7453"
"tpc-d","TPC-D Benchmark","standard","TPC","1995-","emerging","legacy","Decision support benchmark; mentioned as 1996 RDBMS theme","rdbms-for-ibm-powera~1-7a44be"
"watcom-sql","Watcom SQL","application","Sybase","1989-","mature","legacy","Among market leaders; part of Powersoft stable acquired by Sybase","rdbms-for-ibm-powera~1-7a44be"
"teradata-dw","Teradata Data Warehouse","enterprise-suite","","","mature","active","Massively parallel processing data warehouse; spun off from NCR 2007","safeway-damages-report-draft-b502f4"
"informix-db","Informix Database","point-solution","","","declining","legacy-supported","Relational database; acquired by IBM 2001; Safeway's prior DW platform","safeway-damages-report-draft-b502f4"
"fire-suppression","FM-200 Fire Suppression System","point-solution","","","mature","active","Clean agent fire suppression; system that discharged at Consonus facility","safeway-damages-report-draft-b502f4"
"trickle-feed","Trickle Feed (Safeway Custom)","point-solution","","","emerging","obsolete","Custom real-time data feed application; Safeway proprietary on Teradata","safeway-damages-report-draft-b502f4"
"playstation","Sony PlayStation (manufacturing)","hardware","Sony","1994-present","mature","{'lifecycle_current': 'active', 'notes': 'Sony PlayStation manufacturing (and the PlayStation brand) is actively ongoing. PlayStation 5 is current generation; PlayStation 6 in development. Reference here is to semiconductor/electronics manufacturing context.', 'source': 'https://www.playstation.com/en-us/'}","All PlayStation manufacturing announced to move to PRC; represents consumer electronics supply chain concentration","sars2-hot-topic-cf91d4"
"semiconductor-8-inch-fab","8-inch Semiconductor Fabrication Plant","hardware","Various (PRC)","2003","emerging","{'lifecycle_current': 'active', 'notes': '8-inch (200mm) semiconductor fabrication plants remain in active use for mature process nodes (analog, power, RF, MEMS). The SARS-era concern about PRC-based fabs remains relevant. New 8-inch fab investments continue.', 'source': 'General semiconductor industry'}","Eight new PRC 8-inch wafer fabs under construction with commitments from NEC, Philips, Oki, Elpida, Infineon","sars2-hot-topic-cf91d4"
"just-in-time-manufacturing","Just-In-Time (JIT) Manufacturing","standard","Various","1970s-present","mature","{'lifecycle_current': 'active', 'notes': ""JIT manufacturing remains widely used, though pandemic supply chain disruptions prompted shifts toward 'Just-in-Case' hybrid models. JIT is evolving with AI and real-time analytics but remains a core manufacturing strategy."", 'source': 'https://www.fictiv.com/articles/jit-just-in-time-manufacturing'}","Global electronics industry supply chain model; fundamentally incompatible with quarantine/disruption scenarios","sars2-hot-topic-cf91d4"
"dynix-ptx","DYNIX/ptx","platform","Sequent Computer Systems","1987-1999","mature","obsolete","Sequent proprietary Unix OS; upgraded to UNIX V.4 at time of study","sequent-592620; sequent-s-numa-q-2000-solutions-77a77c"
"dg-ux","DG/UX","platform","Data General","1988-1999","mature","obsolete","Data General Unix SVR4 operating system for Aviion servers","sequent-592620"
"vmEbus","VMEbus","protocol","VITA/IEEE","1981-2000","mature","legacy","Bus interface on Sequent 5000 series; 240MB/sec throughput","sequent-592620"
"scsi-2","SCSI-2","storage","ANSI","1991-2000","mature","obsolete","Disk interface for both Sequent (840GB) and Data General Aviion (RAID arrays)","sequent-592620"
"motorola-88k","Motorola 88K","hardware","Motorola","1988-1997","mature","obsolete","RISC chip used in Data General Aviion; identified as end-of-life risk in document","sequent-592620"
"informix-dsa","Informix DSA","application","Informix","1993-1997","growth","obsolete","Dynamic Scalable Architecture; Sequent had 6-month exclusivity on parallelism","datamation-informix-dsa-ad-aberdeen-cite-a9f18d; sequent-592620"
"symmetry-se70","Sequent Symmetry SE70","hardware","Sequent Computer Systems","1995-1999","current","obsolete","High-end SMP server; used as primary benchmark system with 20 application servers","sequent-sap-sequen~1-7f70e4"
"ethernet-10base-t","10BASE-T Ethernet","protocol","IEEE","1990-2000","mature","obsolete","Secondary network used in benchmark configuration","sequent-sap-sequen~1-7f70e4"
"intel-xeon-7140m","Intel Xeon 7140M (dual-core)","platform","Intel","2006-2008","mature","obsolete","Dual-core MP Xeon.","server-benchmarks-2007-sept-7-862cf0"
"intel-xeon-7350","Intel Xeon 7350 (quad-core)","platform","Intel","2007-2010","mature","obsolete","Quad-core Tigerton MP Xeon.","server-benchmarks-2007-sept-7-862cf0"
"amd-opteron-8220se","AMD Opteron 8220se (dual-core)","platform","AMD","2006-2008","mature","obsolete","Dual-core 8-way Opteron.","server-benchmarks-2007-sept-7-862cf0"
"amd-barcelona-8222","AMD Opteron Barcelona 8222 (quad-core)","platform","AMD","2007-2010","emerging","obsolete","First quad-core x86 CPU from AMD; released Sept 2007.","server-benchmarks-2007-sept-7-862cf0"
"intel-5000x","Intel 5000X Chipset","platform","Intel","2006-2010","mature","obsolete","DP Xeon chipset with DIMM sparing, Memory RAID, mirroring, x4 SDDC, ECC, HUB ECC, DMA.","server-benchmarks-2007-sept-7-862cf0"
"intel-5000p","Intel 5000P Chipset","platform","Intel","2006-2010","mature","obsolete","DP Xeon chipset — same RAS as 5000X.","server-benchmarks-2007-sept-7-862cf0"
"intel-5000v","Intel 5000V Chipset","platform","Intel","2006-2010","mature","obsolete","Entry DP Xeon chipset — reduced RAS (no memory mirroring).","server-benchmarks-2007-sept-7-862cf0"
"spec-jbb","SPECjbb","framework","SPEC","2000-present","mature","legacy-active","Java server-side benchmark.","server-benchmarks-2007-sept-7-862cf0"
"spec-int-rate","SPECint_rate_2006","framework","SPEC","2006-2017","mature","obsolete","Integer throughput benchmark.","server-benchmarks-2007-sept-7-862cf0"
"spec-webserver-2005","SPEC webserver 2005","framework","SPEC","2005-2010","mature","obsolete","Web-serving benchmark.","server-benchmarks-2007-sept-7-862cf0"
"snap-server-2200","Snap Server 2200","storage","Snap Appliance","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'Snap Server 2200 is a legacy NAS model from Snap Appliance. The company was acquired by Adaptec, then by Overland Storage. Early SnapServer models like 2200 are long discontinued.', 'source': 'https://www.parkplacetechnologies.com/eosl/family/snapserver/'}","Larger storage capacity plus RAID 1 data protection; workgroup tier","snap-appliances-snapshot-10-15pk-f183fe"
"snap-server-4100","Snap Server 4100","storage","Snap Appliance","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'Snap Server 4100 is a legacy NAS model. The product line from the 2003-era Snap Appliance era has been discontinued. SnapServer 110 discontinued January 2011.', 'source': 'https://www.backupworks.com/snapserver-110-discontinued-REO-1550.aspx'}","Entry-level RAID 5; slim rack-mountable chassis","snap-appliances-snapshot-10-15pk-f183fe"
"snap-server-4200","Snap Server 4200","storage","Snap Appliance","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'Snap Server 4200 is a legacy NAS model from the early Snap Appliance era. Discontinued along with the broader early SnapServer product line.', 'source': 'https://www.parkplacetechnologies.com/eosl/family/snapserver/'}","Departmental; 4x ATA-100 disks; total capacity up to 640GB; 1U rack with dual gigabit Ethernet","snap-appliances-snapshot-10-15pk-f183fe"
"snap-server-4500","Snap Server 4500","storage","Snap Appliance","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'Snap Server 4500 is a legacy NAS model from the early Snap Appliance era. Discontinued as part of the overall early SnapServer product line discontinuation.', 'source': 'https://www.parkplacetechnologies.com/eosl/family/snapserver/'}","Departmental; up to 1TB; supports up to two Snap Disk 10 expansion arrays; up to 3TB total; all RAID options","snap-appliances-snapshot-10-15pk-f183fe"
"snap-disk-10","Snap Disk 10 Expansion Array","storage","Snap Appliance","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'Snap Disk 10 Expansion Array was an accessory for early Snap Appliance NAS systems. Discontinued along with the associated SnapServer product lines.', 'source': 'https://www.parkplacetechnologies.com/eosl/family/snapserver/'}","External storage expansion for Snap Server 4500; enables up to 3TB raw storage capacity","snap-appliances-snapshot-10-15pk-f183fe"
"server-to-server-sync","Server-to-Server Sync Replication Software","application","Snap Appliance","2000s","current","{'lifecycle_current': 'evolved', 'notes': 'Server-to-server sync/replication software as a concept has evolved into modern data replication, DR, and cloud sync solutions (rsync, Veeam, NetApp SnapMirror, etc.). The specific Snap product is discontinued but the capability is active in modern form.', 'source': 'General storage technology evolution'}","Replication between Snap Servers for data redundancy","snap-appliance-launches-new-release-of-i-373ab7; snap-appliances-snapshot-10-15pk-f183fe"
"ads-nis-protocols","Windows ADS / NIS Storage Security Protocols","protocol","Microsoft / Various","2000s","mature","{'lifecycle_current': 'legacy-supported', 'notes': 'Windows ADS (Active Directory Services) remains active (now called Active Directory). NIS (Network Information Service) is legacy in most environments but still supported in some Unix/Linux configurations. Mixed status.', 'source': 'General IT infrastructure'}","ADS (Active Directory Services) and NIS support in SnapServer 14000 for Unix/Windows datacenter environments","snap-appliances-snapshot-10-15pk-f183fe"
"orb","Object Request Broker (ORB)","framework","Various","1993-2002","emerging","obsolete","Identified as missing infrastructure for object-oriented development adoption","software-market-safegu~1-ea7453"
"object-cobol","Object COBOL","language","Various","1993-2000","emerging","obsolete","Listed as object-transitional aid; legacy code-wrapper category","software-market-safegu~1-ea7453"
"eism","Enterprise Information Systems Management (EISM)","framework","Aberdeen Group","1994-1998","emerging","obsolete","Aberdeen-proprietary framework; consolidates network, systems, operations, database management","software-market-safegu~1-ea7453"
"supermini-class-computer","Supermini-class computer","category","industry","1970s-1990s","production","obsolete","32-bit performance, mini-class price/footprint; class includes Stratus, Tandem, DEC VAX","stratus-corporate-overview-1982-11-a7e367"
