reject,row_id,article_seq,date,headline,publication,author,content_type,kastner_quotation,immediate_context,is_predictive,prescience_score,prescience_rationale,forecast_horizon_years,theme,decade,accuracy_outcome,verdict_rationale,verdict_sources,source_segment_idx,classification,discovery_rule,discovery_confidence,detector_headline_attempted
,,,,"And Aberdeen Group chief research officer Peter Kastner has said users are ""waiting with bated breath for",,,,"And Aberdeen Group chief research officer Peter Kastner has said users are ""waiting with bated breath for Passport service"" to relieve them of the hassle of ""entering information 14 times."" But Gartner has dispatched this caveat to businesses interested in procuring Passport: ""Be aware of consumers' pri","And Aberdeen Group chief research officer Peter Kastner has said users are ""waiting with bated breath for Passport service"" to relieve them of the hassle of ""entering information 14 times."" But Gartner has dispatched this caveat to businesses interested in procuring Passport: ""Be aware of consumers' privacy concerns; understand the low levels of trust in Internet companies and retailers; and take note of the strong consumer resistance to using Passport for ""one-click"" shopping where they need to store financial and credit card account information.""",,,,,,,,,,378,ARTICLE_HEAD,R1+R3,high,"And Aberdeen Group chief research officer Peter Kastner has said users are ""waiting with bated breath for"
,,,,Betting on the Lazy,AP,,,"Betting on the Lazy Indeed, the most important reason why manufacturers like rebates is simple: Many people never attempt to collect what they are owed. Kastner estimated that 40 percent of consumers do not follow through on rebate offers. When IT rebates are separated from the pack, the proportion of unclaimed checks can be even more startling. Hsia said the typical redemption rate for his company's produ","Betting on the Lazy Indeed, the most important reason why manufacturers like rebates is simple: Many people never attempt to collect what they are owed. Kastner estimated that 40 percent of consumers do not follow through on rebate offers. When IT rebates are separated from the pack, the proportion of unclaimed checks can be even more startling. Hsia said the typical redemption rate for his company's products hovers between 2 and 15 percent. He noted that despite this seeming consumer apathy, the ratio of redemptions does seem to be increasing. ""I think consumers are starting to be more aw",,,,,,,,,,380,ARTICLE_HEAD,R1,medium,Betting on the Lazy
,,,,The much-talked-about 64-bit microprocessors coming down the pike from Intel (Nasdaq: INTC) and Advanced,E-Commerce Times,,,"ew processors right away. And an important question looms: Do businesses really want to make the switch to 64-bit computing? In the short term, the answer is probably no. ""The imminent arrival of 64-bit computing has been wildly exaggerated,"" Peter Kastner, executive vice president at Aberdeen Group, told the E-Commerce Times.","64-bit microprocessors coming down the pike from Intel (Nasdaq: INTC) and Advanced Micro Devices (NYSE: AMD) may one day help PC servers rival the power of Unix boxes and may transform the PC desktop. But experts do not expect users to adopt these new processors right away. And an important question looms: Do businesses really want to make the switch to 64-bit computing? In the short term, the answer is probably no. ""The imminent arrival of 64-bit computing has been wildly exaggerated,"" Peter Kastner, executive vice president at Aberdeen Group, told the E-Commerce Times.",,,,,,,,,,381,ARTICLE_HEAD,R1+R3,high,The much-talked-about 64-bit microprocessors coming down the pike from Intel (Nasdaq: INTC) and Advanced
,,,,"But although AMD and Intel seem to be preparing for battle, Kastner noted that very few applications currently",AP,,,"But although AMD and Intel seem to be preparing for battle, Kastner noted that very few applications currently could benefit from the power of 64-bit computing. ""Those that crunch huge numbers or need a lot of memory"" could use the technology, he said. ""Some middleware, particularly databases, can take advantage of","But although AMD and Intel seem to be preparing for battle, Kastner noted that very few applications currently could benefit from the power of 64-bit computing. ""Those that crunch huge numbers or need a lot of memory"" could use the technology, he said. ""Some middleware, particularly databases, can take advantage of the [memory offered by] 64-bit, and so can some scientific and knowledge management applications."" Even those applications do not yet justify companies abandoning 32-bit architecture or their investments in the popular, powerful Unix computers. ""Int",,,,,,,,,,382,ARTICLE_HEAD,R1,medium,"But although AMD and Intel seem to be preparing for battle, Kastner noted that very few applications currently"
,,,,"""They never had a really strong case to begin with, particularly from the consumer's standpoint,"" Peter Kastner, chief",E-Commerce Times,,,"""They never had a really strong case to begin with, particularly from the consumer's standpoint,"" Peter Kastner, chief research officer at Aberdeen Group, told the E-Commerce Times. ""At this point, it can only be for the political visibility gain for the attorneys general and the potential for class-action litigation fees by the supporting council."" Fundamen","""They never had a really strong case to begin with, particularly from the consumer's standpoint,"" Peter Kastner, chief research officer at Aberdeen Group, told the E-Commerce Times. ""At this point, it can only be for the political visibility gain for the attorneys general and the potential for class-action litigation fees by the supporting council."" Fundamental Change? Lawsuits and accusations aside, what is clear to analysts is that a change has taken place in the internal workings of Microsoft. They pointed to employees who have become well versed in how their individual actions could affe",,,,,,,,,,389,ARTICLE_HEAD,R1+R3,high,"""They never had a really strong case to begin with, particularly from the consumer's standpoint,"" Peter Kastner, chief"
,,,,"""There are applications in the military, in medical research, in all fields of science,"" Kastner said. ""This is an",AP,,,"""There are applications in the military, in medical research, in all fields of science,"" Kastner said. ""This is an example of how the less expensive computing power can really become important."" Early hopes quickly dashed Sep 24, 2001 12:00 PM, by Vincent Ryan NEON Communications, an upstart Northeast fiber carrier, has had a busy two weeks f","""There are applications in the military, in medical research, in all fields of science,"" Kastner said. ""This is an example of how the less expensive computing power can really become important."" Early hopes quickly dashed Sep 24, 2001 12:00 PM, by Vincent Ryan NEON Communications, an upstart Northeast fiber carrier, has had a busy two weeks following the terrorist attacks of Sept. 11. Its technicians have set up an OC-12 at 60 Hudson St. to bring dial-tone service to New York's City Hall and are field testing a wireless optics device to connect a New York health services building to its",,,,,,,,,,391,ARTICLE_HEAD,R1,medium,"""There are applications in the military, in medical research, in all fields of science,"" Kastner said. ""This is an"
,,,,"Becky Replogle-Wilkes, director of collaborative applications marketing for Sprint, agrees. ""You decide that you no",AP,,,"pplications marketing for Sprint, agrees. ""You decide that you no longer want to drive across town because [audio] conferencing is a much more effective use of time,"" she said. It's also an effective use of money compared with the alternative. Peter Kastner, chief research officer for Aberdeen Group, said, ""It costs about $30 an hour for full-motion video. That's dirt cheap compared with a coast-to-coast flight."" Changing the communications habits of businesses won't be easy, according to Christine Har","Becky Replogle-Wilkes, director of collaborative applications marketing for Sprint, agrees. ""You decide that you no longer want to drive across town because [audio] conferencing is a much more effective use of time,"" she said. It's also an effective use of money compared with the alternative. Peter Kastner, chief research officer for Aberdeen Group, said, ""It costs about $30 an hour for full-motion video. That's dirt cheap compared with a coast-to-coast flight."" Changing the communications habits of businesses won't be easy, according to Christine Hartman, research director of voice-over-packe",,,,,,,,,,392,ARTICLE_HEAD,R1+R3,high,"Becky Replogle-Wilkes, director of collaborative applications marketing for Sprint, agrees. ""You decide that you no"
,,,,"Kollar-Kotelly has played her own cards close to the vest, only hinting here and there about how the case might play",E-Commerce Times,,,"close to the vest, only hinting here and there about how the case might play out. Analysts said they expect the states will not get exactly what they want. ""I don't believe the states will get Windows chopped up the way they have suggested,"" Peter Kastner, chief research officer at the Aberdeen Group, told the E-Commerce Times. ""But I do believe the judge will [do more than] simply reaffirm the agreement the Justice Department and Microsoft reached last November,"" he added. June 2004 Step Up to 64-","Kollar-Kotelly has played her own cards close to the vest, only hinting here and there about how the case might play out. Analysts said they expect the states will not get exactly what they want. ""I don't believe the states will get Windows chopped up the way they have suggested,"" Peter Kastner, chief research officer at the Aberdeen Group, told the E-Commerce Times. ""But I do believe the judge will [do more than] simply reaffirm the agreement the Justice Department and Microsoft reached last November,"" he added. June 2004 Step Up to 64-Bit Computing More affordable 64-bit machines are att",,,,,,,,,,394,ARTICLE_HEAD,R1+R3,high,"Kollar-Kotelly has played her own cards close to the vest, only hinting here and there about how the case might play"
,,,,"Sixty-four-bit architectures can theoretically address millions of terabytes worth of memory, which translates directly",AP,,,"into better performance for complex applications. ""If you're running a relational database and you can do all of your math computations in memory, your performance can be several times faster than if you have to write everything to disk,"" says Peter Kastner, executive vice president and chief research officer with the market research and consulting firm, Aberdeen Group Inc., Boston, Mass. A possible performance advantage isn't the only factor driving 64-bit interest. The ong","Sixty-four-bit architectures can theoretically address millions of terabytes worth of memory, which translates directly into better performance for complex applications. ""If you're running a relational database and you can do all of your math computations in memory, your performance can be several times faster than if you have to write everything to disk,"" says Peter Kastner, executive vice president and chief research officer with the market research and consulting firm, Aberdeen Group Inc., Boston, Mass. A possible performance advantage isn't the only factor driving 64-bit interest. The ong",,,,,,,,,,395,ARTICLE_HEAD,R1,medium,"Sixty-four-bit architectures can theoretically address millions of terabytes worth of memory, which translates directly"
,,,,"The technology can also save money on software licenses, thanks to server consolidation. In some cases, ""a two-",,,,"The technology can also save money on software licenses, thanks to server consolidation. In some cases, ""a two- way Itanium [chip] can do the work of a four-way Xeon computer,"" notes Kastner. ""So if a company is paying a database license on a per-processor basis, that can swing the economic argument rather easily,"" he says. Finally, 64-bit processors are gaining traction among systems vendors. IBM was the first major systems vendor to","The technology can also save money on software licenses, thanks to server consolidation. In some cases, ""a two- way Itanium [chip] can do the work of a four-way Xeon computer,"" notes Kastner. ""So if a company is paying a database license on a per-processor basis, that can swing the economic argument rather easily,"" he says. Finally, 64-bit processors are gaining traction among systems vendors. IBM was the first major systems vendor to support Opteron. Earlier this year, Hewlett-Packard announced a line of Opteron-based ProLiant two- and four- processor servers, as well as blade servers for pr",,,,,,,,,,396,ARTICLE_HEAD,R1,medium,"The technology can also save money on software licenses, thanks to server consolidation. In some cases, ""a two-"
,,,,"In addition to supporting current versions of Microsoft Windows(1), the",,,,"dition 2004, so TV content recorded via the Media Center's Personal Video Recorder (PVR) functionality, as well as any other digital media, can also be streamed to the Wireless Connected DVD at another location in the home. Industry analyst Peter Kastner of the Boston-based research firm Aberdeen Group purchased the premiere version of the Gateway Wireless Connected DVD and commented, ""When it came to upgrading my own media center, I l","In addition to supporting current versions of Microsoft Windows(1), the new Wireless Connected DVD player also supports Microsoft Windows XP Media Center Edition 2004, so TV content recorded via the Media Center's Personal Video Recorder (PVR) functionality, as well as any other digital media, can also be streamed to the Wireless Connected DVD at another location in the home. Industry analyst Peter Kastner of the Boston-based research firm Aberdeen Group purchased the premiere version of the Gateway Wireless Connected DVD and commented, ""When it came to upgrading my own media center, I l",,,,,,,,,,404,ARTICLE_HEAD,R1,medium,"In addition to supporting current versions of Microsoft Windows(1), the"
,,,,"""They've been boxed in by Dell in online sales and by H-P in the big-box retail market,"" Kastner said. ""This",,,,"""They've been boxed in by Dell in online sales and by H-P in the big-box retail market,"" Kastner said. ""This should help them get lots of shelf space with a top-value PC brand."" EMachines plans to sell Gateway-branded consumer and business desktop and notebook PCs, servers and storage products through Gateway's existing direct channels, while","""They've been boxed in by Dell in online sales and by H-P in the big-box retail market,"" Kastner said. ""This should help them get lots of shelf space with a top-value PC brand."" EMachines plans to sell Gateway-branded consumer and business desktop and notebook PCs, servers and storage products through Gateway's existing direct channels, while Gateway will sell eMachines' desktops and notebooks through third-party retail channels in the U.S. and overseas. The deal momentarily took attention away from Gateway's wider quarterly loss. Gateway said Thursday it lost $114 million, or 35 cents a",,,,,,,,,,408,ARTICLE_HEAD,R1,medium,"""They've been boxed in by Dell in online sales and by H-P in the big-box retail market,"" Kastner said. ""This"
,,,,"So far, Gateway has put out 45 new digital devices this year and plans on releases a total of 50 products by the end of",,,,"ee, the moves of the top two PC makers, Dell (DELL) and Hewlett-Packard (HPQ) , which have also stepped out from their traditional product lines into new areas such as digital cameras, printers and storage technologies for business customers. Peter Kastner, an analyst with the Aberdeen Group, said Gateway's moves through the year have been","Gateway has put out 45 new digital devices this year and plans on releases a total of 50 products by the end of the year. ""We're doing what we said we planned to do, and we feel consumers have responded,"" Milne said. Gateway is mirroring, to a degree, the moves of the top two PC makers, Dell (DELL) and Hewlett-Packard (HPQ) , which have also stepped out from their traditional product lines into new areas such as digital cameras, printers and storage technologies for business customers. Peter Kastner, an analyst with the Aberdeen Group, said Gateway's moves through the year have been",,,,,,,,,,409,ARTICLE_HEAD,R1+R3,high,"So far, Gateway has put out 45 new digital devices this year and plans on releases a total of 50 products by the end of"
,,,,"Gateway's chances that last week he started his coverage of Gateway with an ""outperform"" rating, and a 12-month",,,,"Gateway's chances that last week he started his coverage of Gateway with an ""outperform"" rating, and a 12-month price target of $7 on the company's stock. Peter Kastner, a PC analyst with the Aberdeen Group, agreed with Santiago's assessment of how eMachines could provide the spark that gets Gateway back into prominence in the PC market. ""I think eMachines has never been that well understood, but they really have a","Gateway's chances that last week he started his coverage of Gateway with an ""outperform"" rating, and a 12-month price target of $7 on the company's stock. Peter Kastner, a PC analyst with the Aberdeen Group, agreed with Santiago's assessment of how eMachines could provide the spark that gets Gateway back into prominence in the PC market. ""I think eMachines has never been that well understood, but they really have a foundation in the big-box electronics retailer market,"" Kastner said. Gateway shares rose 5 cents Friday to close at $4.45. The stock reached a 52-week high of $6.85 on Sept. 18. G",,,,,,,,,,410,ARTICLE_HEAD,R1,medium,"Gateway's chances that last week he started his coverage of Gateway with an ""outperform"" rating, and a 12-month"
,,,,"Gateway's chances that last week he started his coverage of Gateway with an ""outperform"" rating, and a 12-month",,,,"ago's assessment of how eMachines could provide the spark that gets Gateway back into prominence in the PC market. ""I think eMachines has never been that well understood, but they really have a foundation in the big-box electronics retailer market,"" Kastner said. Gateway shares rose 5 cents Friday to close at $4.45. The stock reached a 52-week high of $6.85 on Sept. 18. G","Gateway's chances that last week he started his coverage of Gateway with an ""outperform"" rating, and a 12-month price target of $7 on the company's stock. Peter Kastner, a PC analyst with the Aberdeen Group, agreed with Santiago's assessment of how eMachines could provide the spark that gets Gateway back into prominence in the PC market. ""I think eMachines has never been that well understood, but they really have a foundation in the big-box electronics retailer market,"" Kastner said. Gateway shares rose 5 cents Friday to close at $4.45. The stock reached a 52-week high of $6.85 on Sept. 18. G",,,,,,,,,,410,ARTICLE_HEAD,R1,medium,"Gateway's chances that last week he started his coverage of Gateway with an ""outperform"" rating, and a 12-month"
,,,,"SanDisk (SNDK 14.89, +0.08, +0.54%) shares climbed 19 cents to $52,80, after the company introduced new",AP,,,"2,80, after the company introduced new memory-stick products. Rival Lexar Media fell 8 cents to $12.39. Here, There, WiFi Anywhere Wireless Web's Spread Is Crossing Our Signals By Mike Musgrove Washington Post Sunday, April 25, 2004; Page F01 Peter Kastner moved from the suburbs to an apartment in Boston last summer while his new home was under construction. As soon as he got set up in the temporary digs, Kastner -- chief technology analyst at the research firm Aberdeen Group -- set up his WiFi home n","SanDisk (SNDK 14.89, +0.08, +0.54%) shares climbed 19 cents to $52,80, after the company introduced new memory-stick products. Rival Lexar Media fell 8 cents to $12.39. Here, There, WiFi Anywhere Wireless Web's Spread Is Crossing Our Signals By Mike Musgrove Washington Post Sunday, April 25, 2004; Page F01 Peter Kastner moved from the suburbs to an apartment in Boston last summer while his new home was under construction. As soon as he got set up in the temporary digs, Kastner -- chief technology analyst at the research firm Aberdeen Group -- set up his WiFi home network to enjoy some wireles",,,,,,,,,,415,ARTICLE_HEAD,R1,medium,"SanDisk (SNDK 14.89, +0.08, +0.54%) shares climbed 19 cents to $52,80, after the company introduced new"
,,,,"SanDisk (SNDK 14.89, +0.08, +0.54%) shares climbed 19 cents to $52,80, after the company introduced new",AP,,,"ssing Our Signals By Mike Musgrove Washington Post Sunday, April 25, 2004; Page F01 Peter Kastner moved from the suburbs to an apartment in Boston last summer while his new home was under construction. As soon as he got set up in the temporary digs, Kastner -- chief technology analyst at the research firm Aberdeen Group -- set up his WiFi home network to enjoy some wireles","SanDisk (SNDK 14.89, +0.08, +0.54%) shares climbed 19 cents to $52,80, after the company introduced new memory-stick products. Rival Lexar Media fell 8 cents to $12.39. Here, There, WiFi Anywhere Wireless Web's Spread Is Crossing Our Signals By Mike Musgrove Washington Post Sunday, April 25, 2004; Page F01 Peter Kastner moved from the suburbs to an apartment in Boston last summer while his new home was under construction. As soon as he got set up in the temporary digs, Kastner -- chief technology analyst at the research firm Aberdeen Group -- set up his WiFi home network to enjoy some wireles",,,,,,,,,,415,ARTICLE_HEAD,R1,medium,"SanDisk (SNDK 14.89, +0.08, +0.54%) shares climbed 19 cents to $52,80, after the company introduced new"
,,,,SARS in Hong Kong,AP,,,"briefly shut their Hong Kong offices. Peter Kastner, an analyst at Aberdeen Group, told Dow Jones Newswires, ""At a minimum, the SARS epidemic will cause schedule slippages and disrupt the aggressive growth plans that global electronics companies have for the affected geographies . . .Worst case, it c","briefly shut their Hong Kong offices. Peter Kastner, an analyst at Aberdeen Group, told Dow Jones Newswires, ""At a minimum, the SARS epidemic will cause schedule slippages and disrupt the aggressive growth plans that global electronics companies have for the affected geographies . . .Worst case, it could result in major supply chain disruptions and another downdraft for an already challenged industry."" But it was not all bad news. Technology stocks really took off midweek on word that U.S.-led forces progressed closer to Baghdad. ""We're generall",,,,,,,,,,418,ARTICLE_CONTINUATION,R1+R3,high,
,,,,"With this announcement, HP has clearly demonstrated a commitment to the IT community that is ─ arguably ─",Computerworld,,,"in on the acquisitive path. If HP has its sights on IBM (and the Mercury deal certainly takes it one large step closer), drawing on the relationship Mercury had with BEA would make for interesting discussions among new and old HP employees. -- Peter Kastner HP cuts prices on some Intel-based servers 11% to 31% By Todd R. Weiss February 13, 2002 12:00 PM ET - Computerworld - Hewlett-","With this announcement, HP has clearly demonstrated a commitment to the IT community that is ─ arguably ─ beyond reproach. While it will take some time to digest this size deal, it’s highly likely that HP will remain on the acquisitive path. If HP has its sights on IBM (and the Mercury deal certainly takes it one large step closer), drawing on the relationship Mercury had with BEA would make for interesting discussions among new and old HP employees. -- Peter Kastner HP cuts prices on some Intel-based servers 11% to 31% By Todd R. Weiss February 13, 2002 12:00 PM ET - Computerworld - Hewlett-",,,,,,,,,,423,ARTICLE_HEAD,R1,medium,"With this announcement, HP has clearly demonstrated a commitment to the IT community that is ─ arguably ─"
,,,,"Peter Kastner, chief research officer of Boston-based Aberdeen Group Inc., said the company faces formidable",Inc.,,,"Peter Kastner, chief research officer of Boston-based Aberdeen Group Inc., said the company faces formidable challenges in sales of printers and ink cartridges. ""They are seeing more competition from third-party toner cartridges,"" Kastner said. ""And in the coming","Peter Kastner, chief research officer of Boston-based Aberdeen Group Inc., said the company faces formidable challenges in sales of printers and ink cartridges. ""They are seeing more competition from third-party toner cartridges,"" Kastner said. ""And in the coming quarter, it's widely rumored that Dell (NSDQ:Dell) (NSDQ:Dell) will be entering the printer business."" The company released its results after the close of markets. Shares of HP closed 43 cents higher, to $18.18, in Tuesday trading on the New York St",,,,,,,,,,430,ARTICLE_HEAD,R1+R3,high,"Peter Kastner, chief research officer of Boston-based Aberdeen Group Inc., said the company faces formidable"
,,,,"Peter Kastner, chief research officer of Boston-based Aberdeen Group Inc., said the company faces formidable",Inc.,,,"Peter Kastner, chief research officer of Boston-based Aberdeen Group Inc., said the company faces formidable challenges in sales of printers and ink cartridges. ""They are seeing more competition from third-party toner cartridges,"" Kastner said. ""And in the coming quarter, it's widely rumored that Dell (NSDQ:Dell) (NSDQ:Dell) will be entering the printer business."" The company released its results after the close of markets. Shares of HP closed 43 cents higher, to $18.18, in Tuesday t","Peter Kastner, chief research officer of Boston-based Aberdeen Group Inc., said the company faces formidable challenges in sales of printers and ink cartridges. ""They are seeing more competition from third-party toner cartridges,"" Kastner said. ""And in the coming quarter, it's widely rumored that Dell (NSDQ:Dell) (NSDQ:Dell) will be entering the printer business."" The company released its results after the close of markets. Shares of HP closed 43 cents higher, to $18.18, in Tuesday trading on the New York Stock Exchange. They lost 80 cents in extended-session trading. HP Turns A Profit On PCs",,,,,,,,,,430,ARTICLE_HEAD,R1+R3,high,"Peter Kastner, chief research officer of Boston-based Aberdeen Group Inc., said the company faces formidable"
,,,,"ISV application support across its Linux-based eServer platforms, the Aberdeen Group says. But there is little, if any,",AP,,,"understand that with the exception of IBM's own middleware products, the company is dependent on its Linux operating system platform partners -- Red Hat, SuSE, The SCO Group, and Turbolinux -- and its ISV partners to improve consistency,"" says Peter Kastner, executive vice president and chief research officer at Aberdeen. ""Because porting IBM middleware and ISV applications to Linux on eServer platforms is based on customer demand and busine","ISV application support across its Linux-based eServer platforms, the Aberdeen Group says. But there is little, if any, consistency today. ""Users need to understand that with the exception of IBM's own middleware products, the company is dependent on its Linux operating system platform partners -- Red Hat, SuSE, The SCO Group, and Turbolinux -- and its ISV partners to improve consistency,"" says Peter Kastner, executive vice president and chief research officer at Aberdeen. ""Because porting IBM middleware and ISV applications to Linux on eServer platforms is based on customer demand and busine",,,,,,,,,,437,ARTICLE_HEAD,R1,medium,"ISV application support across its Linux-based eServer platforms, the Aberdeen Group says. But there is little, if any,"
,,,,"IBM (IBM 107.35, +0.03, +0.03%) shares fell more than 2 percent to $84.55 in after-hours trading. The stock had",,,,"IBM (IBM 107.35, +0.03, +0.03%) shares fell more than 2 percent to $84.55 in after-hours trading. The stock had risen 30 cents to close at $86.74 in regular-session trading on the New York Stock Exchange. ""It was a fairly sober report,"" said Peter Kastner, an analyst with the Aberdeen Group in Boston. ""When you take it back to constant currency, they're growing at the rate of inflation. So there's no joy in Armonk about a recovery in technology or the company's ability to grow faster than the economy","IBM (IBM 107.35, +0.03, +0.03%) shares fell more than 2 percent to $84.55 in after-hours trading. The stock had risen 30 cents to close at $86.74 in regular-session trading on the New York Stock Exchange. ""It was a fairly sober report,"" said Peter Kastner, an analyst with the Aberdeen Group in Boston. ""When you take it back to constant currency, they're growing at the rate of inflation. So there's no joy in Armonk about a recovery in technology or the company's ability to grow faster than the economy."" John Joyce, the company's chief financial officer, told analysts on a conference call that",,,,,,,,,,440,ARTICLE_HEAD,R1+R3,high,"IBM (IBM 107.35, +0.03, +0.03%) shares fell more than 2 percent to $84.55 in after-hours trading. The stock had"
,,,,"Unix) applications, the rest of us waited until Windows XP was launched in October 2000 to end the legacy ties to 16-",AP,,,"ns, the rest of us waited until Windows XP was launched in October 2000 to end the legacy ties to 16- bit software. That’s a long time — fifteen years before the software caught up with the hardware. That won’t happen again to the computer industry. Aberdeen Group expects 64-bit operating support for consumer desktops to arrive over the next year. Early adopters will enjoy some exciting experiences. Hard as it is to imagine, the majority of the consumer market for 64-bit computing will arrive at the end of t","Unix) applications, the rest of us waited until Windows XP was launched in October 2000 to end the legacy ties to 16- bit software. That’s a long time — fifteen years before the software caught up with the hardware. That won’t happen again to the computer industry. Aberdeen Group expects 64-bit operating support for consumer desktops to arrive over the next year. Early adopters will enjoy some exciting experiences. Hard as it is to imagine, the majority of the consumer market for 64-bit computing will arrive at the end of the decade. The key reason is memory. Today’s mainstream 32-bit deskto",,,,,,,,,,445,ARTICLE_HEAD,R2,low,"Unix) applications, the rest of us waited until Windows XP was launched in October 2000 to end the legacy ties to 16-"
,,,,"""You won't see a heck of a lot of difference in Word, but software like [Adobe Systems'] Photoshop or video-",AP,,,"of difference in Word, but software like [Adobe Systems'] Photoshop or video- rendering software will benefit considerably,"" he said. Another benefit of hyperthreading is that it is a proven technology, having been in Xeon processors since February, Kastner said. Intel, based in Santa Clara, California, will likely include hyperthreading in all of its future Pentium 4 processors, he said. Joris Evers of the IDG News Service contributed to this report. Apr 15, 2003, 6:29 p.m. EST Intel shares gain on r","""You won't see a heck of a lot of difference in Word, but software like [Adobe Systems'] Photoshop or video- rendering software will benefit considerably,"" he said. Another benefit of hyperthreading is that it is a proven technology, having been in Xeon processors since February, Kastner said. Intel, based in Santa Clara, California, will likely include hyperthreading in all of its future Pentium 4 processors, he said. Joris Evers of the IDG News Service contributed to this report. Apr 15, 2003, 6:29 p.m. EST Intel shares gain on results, outlook Computer Hardware Intel Corporation Advanced M",,,,,,,,,,456,ARTICLE_HEAD,R1,medium,"""You won't see a heck of a lot of difference in Word, but software like [Adobe Systems'] Photoshop or video-"
,,,,"Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of",,,,"Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of $700 to $3,000 per PC per year. On the low end, Intel's vPro technology has cut that down ""to under $500 per PC per year, and that's not all that much more than just the device itself,"" Kastner sai","Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of $700 to $3,000 per PC per year. On the low end, Intel's vPro technology has cut that down ""to under $500 per PC per year, and that's not all that much more than just the device itself,"" Kastner said. On the high end, the vPro has pushed the cost to less than $2,000, Kastner noted. ""So that the not-quite-so- efficient companies have whacked out $1,000 per employee per year,"" which is a ""huge savings that can go right to the bottom line,"" he ex",,,,,,,,,,458,ARTICLE_HEAD,R1,medium,"Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of"
,,,,"Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of",,,,"old Kastner that the TCO outcomes they saw were in the range of $700 to $3,000 per PC per year. On the low end, Intel's vPro technology has cut that down ""to under $500 per PC per year, and that's not all that much more than just the device itself,"" Kastner said. On the high end, the vPro has pushed the cost to less than $2,000, Kastner noted. ""So that the not-quite-so- efficient companies have whacked out $1,000 per employee per year,"" which is a ""huge savings that can go right to the bottom line,"" h","Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of $700 to $3,000 per PC per year. On the low end, Intel's vPro technology has cut that down ""to under $500 per PC per year, and that's not all that much more than just the device itself,"" Kastner said. On the high end, the vPro has pushed the cost to less than $2,000, Kastner noted. ""So that the not-quite-so- efficient companies have whacked out $1,000 per employee per year,"" which is a ""huge savings that can go right to the bottom line,"" he explained. The technology's new IT Director ""dash",,,,,,,,,,458,ARTICLE_HEAD,R1,medium,"Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of"
,,,,"Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of",,,,"PC per year. On the low end, Intel's vPro technology has cut that down ""to under $500 per PC per year, and that's not all that much more than just the device itself,"" Kastner said. On the high end, the vPro has pushed the cost to less than $2,000, Kastner noted. ""So that the not-quite-so- efficient companies have whacked out $1,000 per employee per year,"" which is a ""huge savings that can go right to the bottom line,"" he explained. The technology's new IT Director ""dash","Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of $700 to $3,000 per PC per year. On the low end, Intel's vPro technology has cut that down ""to under $500 per PC per year, and that's not all that much more than just the device itself,"" Kastner said. On the high end, the vPro has pushed the cost to less than $2,000, Kastner noted. ""So that the not-quite-so- efficient companies have whacked out $1,000 per employee per year,"" which is a ""huge savings that can go right to the bottom line,"" he explained. The technology's new IT Director ""dash",,,,,,,,,,458,ARTICLE_HEAD,R1,medium,"Five years ago, major service companies told Kastner that the TCO outcomes they saw were in the range of"
,,,,"The chip giant has funded a new report from Aberdeen, AMD's Gigahertz Equivalency: Inexperienced Buyers Accept",AP,,,"The chip giant has funded a new report from Aberdeen, AMD's Gigahertz Equivalency: Inexperienced Buyers Accept Bad Science [written by Peter Kastner], which heavily criticises AMD's model-number system as confusing to consumers and as ""not justifiable in the benchmark science"". The report predicts that ""AMD... must soon retreat from the gigahertz equivalency positioning and take another performa","The chip giant has funded a new report from Aberdeen, AMD's Gigahertz Equivalency: Inexperienced Buyers Accept Bad Science [written by Peter Kastner], which heavily criticises AMD's model-number system as confusing to consumers and as ""not justifiable in the benchmark science"". The report predicts that ""AMD... must soon retreat from the gigahertz equivalency positioning and take another performance rating approach."" AMD called the report a ""shady marketing deal"" that distorts the facts. ""They get loads of things wrong in there,"" said an AMD spokesman, citing the Aberdeen report's assertion tha",,,,,,,,,,462,ARTICLE_HEAD,R1,medium,"The chip giant has funded a new report from Aberdeen, AMD's Gigahertz Equivalency: Inexperienced Buyers Accept"
,,,,Peter S Kastner Blogging at oncomputerstips.blogspot.com,AP,,,"Peter S Kastner Blogging at oncomputerstips.blogspot.com Monday, February 07, 2005 Who is Peter S. Kastner? Peter Kastner has over thirty-five years experience in information-technology business and market development, management, and entrepreneurial success. He i","Peter S Kastner Blogging at oncomputerstips.blogspot.com Monday, February 07, 2005 Who is Peter S. Kastner? Peter Kastner has over thirty-five years experience in information-technology business and market development, management, and entrepreneurial success. He is a regular radio show host and blog contributor at the OnComputers web site. He began his career in product development and marketing for applications software products at Wang Laboratories. For about a decade, he was a consultant and program manag",,,,,,,,,,467,ARTICLE_HEAD,R1,medium,Peter S Kastner Blogging at oncomputerstips.blogspot.com
